rpttime,hmc,server,lpar,metric,value
20-03-18 10:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
20-03-18 10:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.1999969
20-03-18 10:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3999939
20-03-18 11:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
20-03-18 11:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3999939
20-03-18 11:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
21-03-18 12:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
21-03-18 12:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3999939
21-03-18 12:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 1:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
21-03-18 1:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.1999969
21-03-18 1:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3000031
21-03-18 2:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 2:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
21-03-18 2:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
21-03-18 3:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 3:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3999939
21-03-18 3:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
21-03-18 4:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
21-03-18 4:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
21-03-18 4:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 5:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
21-03-18 5:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
21-03-18 5:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,151.6999969
21-03-18 6:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 6:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
21-03-18 6:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.1999969
21-03-18 7:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 7:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
21-03-18 7:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
21-03-18 8:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 8:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152
21-03-18 8:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,151.1999969
21-03-18 9:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.1000061
21-03-18 9:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,151
21-03-18 9:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,151.5
21-03-18 10:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.3999939
21-03-18 10:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,151.5
21-03-18 10:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
21-03-18 11:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 11:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
21-03-18 11:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,151.1000061
21-03-18 12:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
21-03-18 12:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.1999969
21-03-18 12:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
21-03-18 1:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 1:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 1:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 2:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 2:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 2:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 3:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 3:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 3:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 4:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 4:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 4:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
21-03-18 5:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 5:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 5:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
21-03-18 6:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
21-03-18 6:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1000061
21-03-18 6:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
21-03-18 7:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153.1999969
21-03-18 7:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 7:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 8:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 8:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
21-03-18 8:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 9:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 9:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 9:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
21-03-18 10:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,153
21-03-18 10:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
21-03-18 10:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 11:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
21-03-18 11:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
21-03-18 11:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8999939
22-03-18 12:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
22-03-18 12:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
22-03-18 12:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
22-03-18 1:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
22-03-18 1:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.5
22-03-18 1:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6000061
22-03-18 2:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.8000031
22-03-18 2:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,152.6999969
22-03-18 2:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 3:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 3:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 3:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 4:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 4:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 4:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 5:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 5:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 5:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 6:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 6:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 6:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 7:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 7:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 7:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 8:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 8:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 8:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 9:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 9:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 9:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 10:00,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 10:20,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
22-03-18 10:40,10.92.215.18,V01SAIXVPVMU1A,a01stsmlc04a,ENT_CPU,0
